Name: CCTV-3高清, URL: http://118.114.168.57:8888/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 211fps
Name: CCTV-3高清, URL: http://61.188.254.120:9527/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 187fps
Name: CCTV-3高清, URL: http://221.237.33.33:4022/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 180fps
Name: CCTV-3高清, URL: http://171.214.202.98:4000/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 174fps
Name: CCTV-3高清, URL: http://182.149.86.235:58888/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 170fps
Name: CCTV-3高清, URL: http://182.149.86.232:58888/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 166fps
Name: CCTV-3高清, URL: http://182.150.171.62:4022/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 155fps
Name: CCTV-3高清, URL: http://125.69.147.107:8888/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 132fps
Name: CCTV-3高清, URL: http://222.209.219.78:4022/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 115fps
Name: CCTV-3高清, URL: http://vl15191373.imwork.net:8880/rtp/239.93.1.11:2223, Date: None, Resolution: 1920x1080, Response Time: 27fps
Name: CCTV-4高清, URL: http://110.191.246.230:8888/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: CCTV-4高清, URL: http://118.114.168.57:8888/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 246fps
Name: CCTV-4高清, URL: http://118.122.103.228:4022/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 229fps
Name: CCTV-4高清, URL: http://171.217.146.166:8888/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 225fps
Name: CCTV-4高清, URL: http://221.237.33.33:4022/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 209fps
Name: CCTV-4高清, URL: http://61.188.254.120:9527/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 182fps
Name: CCTV-4高清, URL: http://171.214.202.98:4000/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 164fps
Name: CCTV-4高清, URL: http://182.150.171.62:4022/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 158fps
Name: CCTV-4高清, URL: http://125.69.147.107:8888/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 146fps
Name: CCTV-4高清, URL: http://222.209.219.78:4022/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 141fps
Name: CCTV-4高清, URL: http://vl15191373.imwork.net:8880/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 134fps
Name: CCTV-4高清, URL: http://182.149.86.232:58888/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 132fps
Name: CCTV-4高清, URL: http://221.237.137.137:4022/rtp/239.93.1.105:5140, Date: None, Resolution: 1920x1080, Response Time: 102fps
